1611051970869,1611051978577,20,1,7708,,,,,
1611051980782,1611051984603,20,2,3821,,,,,
1611051988616,1611051992530,20,3,3914,,,,,
1611051992540,1611051996765,20,4,4225,,,,,
1611051998622,1611052002837,20,5,4215,,,,,
1611052002848,1611052006843,20,6,3995,,,,,
1611052008621,1611052012023,20,7,3402,,,,,
1611052012856,1611052017061,20,8,4205,,,,,
1611052018624,1611052031471,20,9,12847,,,,,20
1611052031549,1611052050068,20,10,18519,,,,,
1611052050410,1611052068404,20,11,17994,,,,,
1611052068492,1611052086799,20,12,18307,,,,,
1611052086863,1611052105718,20,13,18855,,,,,
1611128102231,1611129052575,20,1,950344,,,,,
1611129052636,1611129074717,20,2,22081,,,,,
1611129074823,1611129093586,20,3,18763,,,,,
1611129093650,1611129112313,20,4,18663,,,,,
1611129112374,1611129130476,20,5,18102,,,,,
1611134341731,1611134665125,20,1,323394,,,,,
1611134665209,1611135172370,20,2,507161,,,,,
1611135172446,1611135296362,20,3,123916,,,,,
1611135296377,1611135309996,20,4,13619,,,,,
1611135310288,1611135329847,20,5,19559,,,,,
1611135329932,1611135347991,20,6,18059,,,,,
1611135348052,1611149778435,20,7,14430383,,,,,
1611149778549,1611149798261,20,8,19712,,,,,
1611149798350,1611149820822,20,9,22472,,,,,
1611149820931,1611150560420,20,10,739489,,,,,
1611150561248,1611151381161,20,11,819913,,,,,
1611151406750,1611152141685,20,12,734935,,,,,
1611152141831,1611152337298,20,13,195467,,,,,
1611152337534,1611152358078,20,14,20544,,,,,
1611152358190,1611152379514,20,15,21324,,,,,
1611207860434,1611208192769,20,1,332335,,,,,
1611208192853,1611208210487,20,2,17634,,,,,
1611208210567,1611208229222,20,3,18655,,,,,
1611208229292,1611208247431,20,4,18139,,,,,
1611208247492,1611208265494,20,5,18002,,,,,
