1611068047353,1611068076370,20,1,29017
1611068076575,1611068101575,20,2,25000
1611197989084,1611198017266,20,1,28182
1611198090366,1611198112757,20,1,22391
1611198112819,1611198131850,20,2,19031
1611198131900,1611198151134,20,3,19234
1611198151192,1611198172115,20,4,20923
1611198172163,1611198191966,20,5,19803
1611198192022,1611198212491,20,6,20469
1611198212539,1611198234436,20,7,21897
1611198234489,1611198253695,20,8,19206
1611198253743,1611198272983,20,9,19240
1611198273028,1611198294529,20,10,21501
1611198295276,1611198315289,20,11,20013
1611198315380,1611198337867,20,12,22487
1611198337924,1611198358982,20,13,21058
1611198359030,1611198378271,20,14,19241
1611198378318,1611198398395,20,15,20077
1611198398442,1611198419014,20,16,20572
1611198419069,1611198439233,20,17,20164
1611198439279,1611198458789,20,18,19510
1611198458838,1611198479774,20,19,20936
1611198479821,1611198499632,20,20,19811
1611198500278,1611198519399,20,21,19121
1611198519446,1611198539855,20,22,20409
1611198539903,1611198560013,20,23,20110
1611198560061,1611198579826,20,24,19765
1611198579877,1611198599231,20,25,19354
1611198599288,1611198618942,20,26,19654
1611198618999,1611198638257,20,27,19258
1611198638311,1611198657221,20,28,18910
1611198657268,1611198676348,20,29,19080
1611198676400,1611198696221,20,30,19821
1611198696848,1611198717005,20,31,20157
1611198717052,1611198736221,20,32,19169
1611198736272,1611198756265,20,33,19993
1611198756314,1611198775449,20,34,19135
1611198775497,1611198795457,20,35,19960
1611198795506,1611198814489,20,36,18983
1611198814537,1611198833755,20,37,19218
1611198833801,1611198854678,20,38,20877
1611198854724,1611198875292,20,39,20568
1611198875348,1611198895088,20,40,19740
1611198895720,1611198914886,20,41,19166
1611198914933,1611198935392,20,42,20459
1611198935448,1611198955109,20,43,19661
1611198955231,1611198974538,20,44,19307
1611198974622,1611198993965,20,45,19343
1611198994011,1611199015661,20,46,21650
1611199015707,1611199035516,20,47,19809
1611199035570,1611199054663,20,48,19093
1611199054710,1611199074490,20,49,19780
1611199074540,1611199483327,20,50,408787
1611199484086,1611199503912,20,51,19826
1611199503957,1611199524294,20,52,20337
1611199524358,1611199644913,20,53,120555
1611200031658,1611200054055,20,1,22397
1611200054150,1611200073612,20,2,19462
1611200073660,1611200092739,20,3,19079
1611200092788,1611200112104,20,4,19316
1611200112151,1611200135183,20,5,23032
1611200135233,1611200155474,20,6,20241
1611200155523,1611200174995,20,7,19472
1611200175043,1611200194382,20,8,19339
1611200194439,1611200213530,20,9,19091
1611200213576,1611200232824,20,10,19248
1611200233858,1611200252795,20,11,18937
1611200252841,1611200271960,20,12,19119
1611200272007,1611200291185,20,13,19178
1611200291232,1611200310545,20,14,19313
1611200310600,1611200329415,20,15,18815
1611200329463,1611200348618,20,16,19155
1611200348668,1611200367585,20,17,18917
1611200367631,1611200386624,20,18,18993
1611200386677,1611200405754,20,19,19077
1611200405801,1611200425323,20,20,19522
1611200426150,1611200444900,20,21,18750
1611200444947,1611200464602,20,22,19655
1611200464655,1611200483447,20,23,18792
1611200483493,1611200502605,20,24,19112
1611200502662,1611200521856,20,25,19194
1611200521904,1611200544146,20,26,22242
1611200544195,1611200564366,20,27,20171
1611200564413,1611200584020,20,28,19607
1611200584066,1611200603828,20,29,19762
1611200603874,1611200624261,20,30,20387
1611200625126,1611200644771,20,31,19645
1611200644817,1611200664143,20,32,19326
1611200664194,1611200683594,20,33,19400
1611200683641,1611200703164,20,34,19523
1611200703211,1611200722471,20,35,19260
1611200722517,1611200741598,20,36,19081
1611200741644,1611200760832,20,37,19188
1611200760878,1611200779901,20,38,19023
1611200779947,1611200800101,20,39,20154
1611200800146,1611200819466,20,40,19320
1611200820310,1611200839383,20,41,19073
1611200839430,1611200858577,20,42,19147
1611200858623,1611200877284,20,43,18661
1611200877332,1611200897081,20,44,19749
1611200897138,1611200916130,20,45,18992
1611200916176,1611200935510,20,46,19334
1611200935557,1611200955423,20,47,19866
1611200955469,1611200975354,20,48,19885
1611200975402,1611200994370,20,49,18968
1611200994417,1611201013020,20,50,18603
1611201013852,1611201032471,20,51,18619
1611201032517,1611201052443,20,52,19926
1611201052490,1611201072060,20,53,19570
1611201072107,1611201091617,20,54,19510
1611201091664,1611201110770,20,55,19106
1611201110818,1611201130542,20,56,19724
1611201130595,1611201149512,20,57,18917
1611201149559,1611201168495,20,58,18936
1611201168541,1611201188270,20,59,19729
1611201188317,1611201208049,20,60,19732
1611201208885,1611201233228,20,61,24343
1611201233281,1611201255962,20,62,22681
1611201256010,1611201275334,20,63,19324
1611201275390,1611201294963,20,64,19573
1611201295018,1611201313728,20,65,18710
1611201313774,1611201333749,20,66,19975
1611201333804,1611201353727,20,67,19923
1611201353781,1611201373501,20,68,19720
1611201373548,1611201392432,20,69,18884
1611201392478,1611201411588,20,70,19110
1611201412565,1611201431759,20,71,19194
1611201431810,1611201483660,20,72,51850
1611201483716,1611201503267,20,73,19551
1611201503475,1611201522836,20,74,19361
1611201522905,1611201542368,20,75,19463
1611201542421,1611201561920,20,76,19499
1611201561973,1611201581664,20,77,19691
1611201581711,1611201601248,20,78,19537
1611201601301,1611201621069,20,79,19768
1611201621119,1611201641486,20,80,20367
1611201642353,1611201661853,20,81,19500
1611201661906,1611201682761,20,82,20855
1611201682809,1611201702165,20,83,19356
1611201702223,1611201721089,20,84,18866
1611201721165,1611201741037,20,85,19872
1611201741083,1611201760592,20,86,19509
1611201760651,1611201780446,20,87,19795
1611201780495,1611201800384,20,88,19889
1611201800432,1611201819393,20,89,18961
1611201819445,1611201838223,20,90,18778
1611201839083,1611201858057,20,91,18974
