1,7470392,251188,3119,2943244,2621436,27181776,20815824,6365952,8,2314000,274,4103,1610011030792
1,7470392,243872,3111,2943248,2621436,27181776,13150056,14031720,8,2080000,89,4103,1610011030909
1,7470392,220560,3087,2943248,2621436,39234512,0,39234512,8,2730000,-116,4103,1610011031031
1,7470392,235948,3103,2943248,2621436,25450351,1588879,23861472,8,2600000,-116,4103,1610011031149
1,7470392,230988,3099,2943248,2621436,28016648,0,28016648,8,2530000,-329,4103,1610011031268
1,7470392,241032,3108,2943248,2621436,20167999,1445535,18722464,8,2730000,-378,4103,1610011031393
1,7470392,242924,3109,2943260,2621436,20200430,3933406,16267024,8,2730000,-378,4103,1610011031519
1,7470392,249248,3115,2943264,2621436,19820287,10331695,9488592,8,2730000,-427,4103,1610011031638
1,7470392,241188,3108,2943264,2621436,23475086,5327302,18147784,8,2730000,-591,4103,1610011031767
1,7470392,237096,3106,2943264,2621436,22121328,0,22121328,8,2730000,-525,4103,1610011031889
1,7470392,239204,3105,2943264,2621436,19870496,0,19870496,8,2730000,-525,4103,1610011032015
1,7470392,231516,3098,2943264,2621436,27897710,514870,27382840,8,2730000,-692,4103,1610011032137
1,7470392,236600,3103,2943264,2621436,24114079,2071831,22042248,8,2730000,-537,4103,1610011032259
1,7470392,230772,3098,2943264,2621436,27502800,0,27502800,8,2730000,-537,4103,1610011032385
1,7470392,229904,3098,2943264,2621436,27665336,0,27665336,8,2730000,-613,4103,1610011032508
1,7470392,230028,3098,2943268,2621436,27094608,0,27094608,8,2730000,-657,4103,1610011032630
1,7470392,227424,3096,2943268,2621436,29989472,0,29989472,8,2730000,-657,4103,1610011032751
1,7470392,250200,3116,2943268,2621436,17960942,9844446,8116496,8,2600000,-519,4103,1610011032872
1,7470392,243628,3110,2943268,2621436,18425407,3425055,15000352,8,2730000,-539,4103,1610011033003
1,7470392,239040,3109,2943268,2621436,19241128,0,19241128,8,2730000,-614,4103,1610011033121
1,7470392,241272,3108,2943268,2621436,17394333,30165,17364168,8,2730000,-614,4103,1610011033241
1,7470392,235196,3103,2943268,2621436,22757240,0,22757240,8,2730000,-617,4103,1610011033361
1,7470392,249124,3116,2943272,2621436,16860573,6955725,9904848,8,2730000,-779,4103,1610011033482
1,7470392,240940,3109,2943276,2621436,16939376,0,16939376,8,2730000,-779,4103,1610011033601
1,7470392,236600,3104,2943276,2621436,21388040,0,21388040,8,2730000,-534,4103,1610011033723
1,7470392,249868,3116,2943276,2621436,15781533,6916981,8864552,8,2730000,-573,4103,1610011033847
1,7470392,243916,3111,2943276,2621436,15378062,671870,14706192,8,2730000,-573,4103,1610011033965
1,7470392,243296,3110,2943276,2621436,19704031,4279087,15424944,8,2730000,-763,4103,1610011034085
1,7470392,243544,3110,2943276,2621436,15295406,348478,14946928,8,2730000,-324,4103,1610011034200
1,7470392,247760,3114,2943276,2621436,19951807,8785447,11166360,8,2730000,-324,4103,1610011034318
1,7470392,249620,3117,2943276,2621436,12572728,3646888,8925840,8,2530000,-361,4103,1610011034436
1,7470392,245404,3113,2943276,2621436,14890207,2064599,12825608,8,2730000,-481,4103,1610011034551
1,7470392,244412,3112,2943276,2621436,14744335,927823,13816512,8,2730000,-481,4103,1610011034671
1,7470392,241808,3109,2943280,2621436,16660264,0,16660264,8,2730000,-776,4103,1610011034792
1,7470392,241684,3110,2943280,2621436,15684784,0,15684784,8,2730000,-846,4103,1610011034910
1,7470392,240196,3108,2943280,2621436,16783704,0,16783704,8,2730000,-846,4103,1610011035031
1,7470392,240072,3108,2943280,2621436,16184664,0,16184664,8,2600000,-841,4103,1610011035150
1,7470392,247496,3115,2943284,2621436,12354384,944576,11409808,8,2600000,-630,4103,1610011035265
1,7470392,252332,3120,2943284,2621436,12178544,5912280,6266264,8,2600000,-630,4103,1610011035375
1,7470392,248736,3116,2943284,2621436,11317392,1748992,9568400,8,2600000,-575,4103,1610011035485
1,7470392,243404,3119,2943284,2621436,13984600,0,13984600,8,2730000,-681,4103,1610011035599
1,7470392,249852,3118,2943284,2621436,11337592,3582776,7754816,8,2530000,-681,4103,1610011035721
1,7470392,251960,3120,2943284,2621436,10222144,4354048,5868096,8,2730000,-838,4103,1610011035835
1,7470392,253944,3122,2943284,2621436,10222144,6231016,3991128,8,2730000,-834,4103,1610011035949
1,7470392,251216,3119,2943284,2621436,10222144,3945448,6276696,8,2470000,-834,4103,1610011036067
1,7470392,250968,3119,2943284,2621436,10222144,3445736,6776408,8,2730000,-907,4103,1610011036184
2,7470392,244424,3112,2943324,2621436,11343560,0,11343560,8,1898000,336,4097,1610011040752
2,7470392,248872,3116,2943324,2621436,11872920,3432912,8440008,8,2530000,-440,4097,1610011040871
2,7470392,250236,3117,2943332,2621436,11769000,4601912,7167088,8,2530000,-440,4097,1610011040994
2,7470392,244780,3112,2943332,2621436,11720424,0,11720424,8,2530000,-718,4097,1610011041116
2,7470392,246392,3113,2943332,2621436,11193024,62176,11130848,8,2530000,-603,4097,1610011041233
2,7470392,247880,3114,2943332,2621436,11669696,946176,10723520,8,2530000,-603,4097,1610011041357
2,7470392,248268,3114,2943332,2621436,11348232,706904,10641328,8,2530000,-659,4097,1610011041478
2,7470392,244796,3119,2943332,2621436,11348232,6157056,5191176,8,2530000,-630,4097,1610011041600
2,7470392,247028,3114,2943332,2621436,11321408,201560,11119848,8,2530000,-687,4097,1610011041719
2,7470392,249012,3116,2943332,2621436,11265232,2168984,9096248,8,2530000,-687,4097,1610011041839
2,7470392,251740,3118,2943332,2621436,11324136,4175912,7148224,8,2730000,-544,4097,1610011041961
