,total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device,label
1292,5467200,142471.611650485,1527.3883495145599,1422053.94174757,2097148,10818395.8737864,2150568.45631068,8667827.41747573,8,2314000.0,141927.757281553,-184.184466019417,3514.0,20,13617,8813.25211648544,note8,2
1293,5467200,129496.55445544599,1517.91089108911,1425219.44554455,2097148,12511937.4752475,1732819.93069307,10779117.5445545,8,2314000.0,143469.574257426,-352.128712871287,3578.0,20,10919,13757.028641881201,note8,2
1294,5467200,115700.6,1510.37,1431566.4,2097148,12695022.74,2169687.46,10525335.28,8,2312440.0,145053.55,-113.26,3530.0,20,10850,4337.914629999999,note8,2
1295,5467200,132397.08,1483.92,1387743.48,2097148,12258155.98,2109555.42,10148600.56,8,2303080.0,146654.06,-330.32,3577.0,20,10891,12868.31158424,note8,2
1296,5467200,138543.111111111,1464.82828282828,1361900.68686869,2097148,12173683.2626263,2247139.34343434,9926543.91919192,8,2314000.0,148219.666666667,-318.909090909091,3587.0,20,10802,12356.698472,note8,2
1297,5467200,118926.545454545,1455.67676767677,1372226.06060606,2097148,11513882.181818198,2430317.97979798,9083564.2020202,8,2312424.24242424,149798.131313131,-131.272727272727,3587.0,20,10729,5052.02080109091,note8,2
1298,5467200,113010.891089109,1447.76237623762,1370079.92079208,2097148,12217703.5247525,1991199.52475248,10226504.0,8,2314000.0,151373.277227723,-118.95049504950501,3566.0,20,10635,4511.1273439604,note8,2
1299,5467200,118672.0,1453.04,1369903.6,2097148,12090770.61,2149152.45,9941618.16,8,2314000.0,152960.72,-154.08,3566.0,20,10944,6013.17292032,note8,2
1300,5467200,115074.352941176,1451.7843137254902,1372131.09803922,2097148,12387881.421568599,1822361.57843137,10565519.8431373,8,2297686.2745098,154547.774509804,-87.2941176470588,3620.0,20,10750,3397.05058823529,note8,2
1301,5467200,111855.96039604,1449.74257425743,1373228.51485149,2097148,11725131.4257426,2135099.34653465,9590032.07920792,8,2305633.66336634,156132.386138614,-39.4653465346535,3619.0,20,11007,1572.0757558217801,note8,2
1302,5467200,117267.8,1448.11,1366038.24,2097148,12269062.08,1926316.32,10342745.76,8,2312440.0,157709.8,-128.62,3621.0,20,10863,5059.25779626,note8,2
1303,5467200,124299.96039604,1455.67326732673,1366728.31683168,2097148,12495613.504950501,2110804.23762376,10384809.2673267,8,2314000.0,159299.069306931,-299.39603960396,3622.0,20,10781,11691.0506821584,note8,2
1304,5467200,126391.84,1457.82,1366904.0,2097148,11951083.15,2357074.43,9594008.72,8,2305550.0,160862.9,-167.16,3624.0,20,10854,6575.22121536,note8,2
1305,5467200,140403.04,1471.66,1367102.36,2097148,11880837.22,2032792.9,9848044.32,8,2314000.0,162421.25,-42.66,3621.0,20,10765,1662.8895729,note8,2
1306,5467200,152284.85714285698,1494.82653061224,1379044.44897959,2097148,11606390.8469388,2980419.5,8625971.34693878,8,2314000.0,163931.336734694,-122.32653061224501,3610.0,20,10677,4714.95012612245,note8,2
1307,5467200,123071.52,1466.63,1379347.44,2097148,12276866.47,1882086.63,10394779.84,8,2310880.0,165416.04,-268.4,3614.0,20,10480,10165.574848,note8,2
1308,5467200,135065.36,1480.46,1381424.96,2097148,11960052.67,2017258.35,9942794.32,8,2314000.0,166995.15,-415.08,3608.0,20,10795,16166.6852688,note8,2
1309,5467200,162447.84,1508.55,1382639.12,2097148,11823743.48,1795728.52,10028014.96,8,2314000.0,168568.32,-140.73,3605.0,20,10784,5471.064513600001,note8,2
1310,5467200,110833.44,1488.68,1414193.44,2097148,12741270.06,2495042.86,10246227.2,8,2309320.0,170171.43,-328.2,3549.0,20,10826,12609.9277668,note8,2
1311,5467200,118508.23762376199,1498.13861386139,1416056.71287129,2097148,12404370.4653465,1739932.04950495,10664438.4158416,8,2312455.44554455,171742.138613861,-107.940594059406,3575.0,20,10789,4163.3415727722795,note8,2
1312,5467200,150488.08,1529.4,1416047.68,2097148,12239720.57,2267907.13,9971813.44,8,2314000.0,173321.65,-394.4,3589.0,20,10927,15467.185983200001,note8,2
1313,5467200,220316.2,1598.69,1417181.96,2097148,12136657.15,2181797.95,9954859.2,8,2314000.0,174879.82,-168.95,3600.0,20,10724,6522.55128,note8,2
1314,5467200,220879.56435643602,1599.34653465347,1417446.73267327,2097148,12365344.0693069,2098902.32673267,10266441.7425743,8,2314000.0,176455.772277228,-169.485148514851,3617.0,20,10770,6602.309214059411,note8,2
1315,5467200,218550.84,1597.41,1417672.96,2097148,12759492.58,2400196.34,10359296.24,8,2314000.0,178038.11,-111.79,3612.0,20,10863,4386.32166924,note8,2
1316,5467200,217865.8,1596.73,1417676.0,2097148,11954310.15,2360896.63,9593413.52,8,2314000.0,179597.9,-141.12,3619.0,20,10797,5514.17128416,note8,2
1317,5467200,215698.455445545,1594.5841584158402,1417780.0,2097148,12091452.2475248,2074141.59405941,10017310.6534653,8,2314000.0,181191.06930693102,-59.356435643564396,3622.0,20,10759,2313.06675752475,note8,2
1318,5467200,214102.257425743,1593.0099009901,1417780.0,2097148,12123854.683168301,1992546.40594059,10131308.2772277,8,2292118.81188119,182797.92079207898,-35.940594059405896,3619.0,20,10964,1426.0766245544598,note8,2
1319,5467200,206209.86138613897,1588.7128712871302,1421160.83168317,2097148,12103441.2673267,2509430.41584158,9594010.85148515,8,2314000.0,184399.40594059398,-132.277227722772,3620.0,20,10956,5246.21009108911,note8,2
1320,5467200,199122.16,1583.99,1423533.92,2097148,11800815.27,2261503.43,9539311.84,8,2314000.0,185982.78,-113.9,3611.0,20,10918,4490.4958822,note8,2
1321,5467200,195966.05940594102,1581.23762376238,1423540.0,2097148,12661692.5346535,2515449.44554455,10146243.089108901,8,2314000.0,187570.42574257398,-128.74257425742599,3615.0,20,10818,5034.74486346535,note8,2
1322,5467200,187546.495049505,1573.70297029703,1424472.63366337,2097148,12543501.5940594,2409972.00990099,10133529.5841584,8,2314000.0,189168.514851485,-132.07920792079202,3606.0,20,10873,5178.56660316832,note8,2
1323,5467200,207278.96,1593.49,1424872.04,2097148,12053712.84,2061709.08,9992003.76,8,2312440.0,190739.76,-108.84,3604.0,20,10868,4263.07472448,note8,2
1324,5467200,222797.44,1608.46,1424892.0,2097148,12831705.95,2488048.35,10343657.6,8,2314000.0,192332.15,39.96,3614.0,20,10768,1555.06545792,note8,2
1325,5467200,221465.227722772,1607.32673267327,1424946.89108911,2097148,12486173.4455446,2466433.72277228,10019739.7227723,8,2314000.0,193939.811881188,-188.02970297029702,3630.0,20,10955,7477.311387623759,note8,2
1326,5467200,217729.88,1603.76,1425065.04,2097148,11934050.04,1987286.12,9946763.92,8,2314000.0,195512.63,-93.6,3617.0,20,10894,3688.1767728,note8,2
1327,5467200,126090.980392157,1484.0686274509803,1394156.66666667,2097148,10751217.960784301,2018433.7254902,8732784.23529412,8,2314000.0,906.980392156863,-17.4117647058824,3669.0,20,11470,732.7467811764709,note8,2
1328,5467200,126304.46511627901,1486.2906976744198,1396231.11627907,2097148,11264407.511627901,2065959.60465116,9198447.90697674,8,2312186.04651163,2437.66279069767,-57.976744186046496,3652.0,20,9536,2019.06748130233,note8,2
1329,5467200,123224.954545455,1485.44318181818,1398518.0,2097148,11408178.318181802,2313917.95454545,9094260.36363636,8,2293022.72727273,3877.5568181818203,-112.636363636364,3645.0,20,9702,3983.2487100000003,note8,2
1330,5467200,121056.63636363599,1483.6590909090899,1398522.59090909,2097148,12470411.0113636,2088385.01136364,10382026.0,8,2307056.81818182,5343.17045454546,-157.44318181818198,3645.0,20,9734,5586.15179147727,note8,2
1331,5467200,116592.681818182,1487.93181818182,1407709.0,2097148,11375394.272727301,2748999.54545455,8626394.72727273,8,2297602.27272727,6779.39772727273,-227.22727272727298,3639.0,20,9420,7789.21002818182,note8,2
1332,5467200,104944.86363636401,1496.2272727272698,1427497.22727273,2097148,11383901.7045455,2170966.06818182,9212935.63636364,8,2314000.0,8081.85227272727,-357.28409090909105,3646.0,20,9550,12440.3819465909,note8,2
1333,5467200,111510.13333333301,1497.35555555556,1422403.64444444,2097148,12716707.866666699,2275320.13333333,10441387.7333333,8,2314000.0,9541.97777777778,-77.7111111111111,3618.0,20,9801,2755.6373988,note8,2
1334,5467200,110707.820224719,1493.9887640449401,1419724.13483146,2097148,12076449.4269663,1997994.41573034,10078455.011236,8,2314000.0,10980.1685393258,-38.9550561797753,3659.0,20,9706,1383.45975975281,note8,2
1335,5467200,146620.674157303,1492.92134831461,1382544.17977528,2097148,12138093.460674198,1942795.21348315,10195298.247191,8,2314000.0,12413.4382022472,-31.2696629213483,3656.0,20,9653,1103.54918139326,note8,2
1336,5467200,147701.21348314598,1492.94382022472,1381796.0,2097148,12231802.8089888,2365186.98876404,9866615.82022472,8,2314000.0,13847.0898876405,-107.370786516854,3661.0,20,9723,3821.9601018876397,note8,2
1337,5467200,126783.377777778,1476.93333333333,1386155.6,2097148,11795350.2444444,2037324.37777778,9758025.86666667,8,2310533.33333333,15329.0444444444,-83.1,3650.0,20,9779,2966.117385,note8,2
1338,5467200,107423.955555556,1462.31111111111,1390576.44444444,2097148,12006859.388888901,2461072.54444444,9545786.84444445,8,2312266.66666667,16777.9888888889,-73.9333333333333,3660.0,20,9752,2638.8521920000003,note8,2
1339,5467200,129393.511111111,1474.88888888889,1381354.4,2097148,12266812.2,2367171.93333333,9899640.26666667,8,2314000.0,18231.3,-59.5333333333333,3652.0,20,9767,2123.49946746667,note8,2
1340,5467200,130036.923076923,1475.3296703296699,1381260.0,2097148,11745584.3626374,2181298.91208791,9564285.45054945,8,2314000.0,19675.0,-75.5054945054945,3656.0,20,9753,2692.29700140659,note8,2
1341,5467200,129650.112359551,1474.88764044944,1381260.0,2097148,11395189.7303371,1834317.91011236,9560871.82022472,8,2312247.19101124,21074.6741573034,-121.0,3658.0,20,9569,4235.411642,note8,2
1342,5467200,128146.373626374,1473.43956043956,1381260.0,2097148,13025533.428571401,2891474.35164835,10134059.0769231,8,2314000.0,22524.725274725297,-234.769230769231,3655.0,20,9920,8512.16886153846,note8,2
1343,5467200,127177.826086957,1472.8695652173901,1381408.34782609,2097148,11578912.913043499,1688321.34782609,9890591.56521739,8,2255500.0,23966.8913043478,-75.4782608695652,3655.0,20,9825,2710.4526521739103,note8,2
1344,5467200,124849.043478261,1470.60869565217,1381644.0,2097148,12705157.336956501,2308183.07608696,10396974.2608696,8,2293369.56521739,25438.0543478261,-79.5217391304348,3647.0,20,9951,2885.9470527391304,note8,2
1345,5467200,122920.84444444401,1468.93333333333,1381644.0,2097148,13070264.0666667,2439178.02222222,10631086.0444444,8,2314000.0,26911.8,-75.5333333333333,3637.0,20,9810,2694.951534,note8,2
1346,5467200,122543.91304347801,1468.34782608696,1381673.0,2097148,12393421.0434783,2538863.73913043,9854557.30434783,8,2314000.0,28370.847826087003,-114.619565217391,3645.0,20,9900,4136.104320652171,note8,2
1347,5467200,121205.887640449,1467.3595505618,1381852.0,2097148,11548988.7191011,2308368.04494382,9240620.674157301,8,2314000.0,29820.2471910112,-77.93258426966291,3654.0,20,9645,2746.5648188764003,note8,2
1348,5467200,119306.63736263699,1465.96703296703,1382201.27472527,2097148,13294215.6373626,2782029.52747253,10512186.1098901,8,2314000.0,31290.978021977997,-86.1978021978022,3650.0,20,9848,3098.39723956044,note8,2
1349,5467200,119433.466666667,1466.4777777777801,1382655.2,2097148,11591879.5666667,2238437.96666667,9353441.6,8,2312266.66666667,32721.8,-370.45555555555603,3645.0,20,9742,13154.724891,note8,2
1350,5467200,116802.47826087,1464.0760869565197,1382780.0,2097148,11954133.7934783,1985497.18478261,9968636.60869565,8,2275282.60869565,34171.8804347826,-439.91304347826105,3652.0,20,9981,16035.0996615652,note8,2
1351,5467200,112564.4,1459.94444444444,1382878.31111111,2097148,12828102.8,2013386.8,10814716.0,8,2312266.66666667,35651.7444444444,-187.233333333333,3630.0,20,9795,6657.240315,note8,2
1352,5467200,117080.488888889,1463.54444444444,1382240.88888889,2097148,11668564.8222222,2705421.35555556,8963143.46666667,8,2314000.0,37079.6888888889,-76.2666666666667,3635.0,20,9628,2669.16402133333,note8,2
1353,5467200,115377.06666666699,1461.9,1382213.51111111,2097148,12050533.077777801,2477644.36666667,9572888.71111111,8,2314000.0,38495.4444444444,-262.4,3644.0,20,9708,9282.6498048,note8,2
1354,5467200,112740.43478260901,1459.4130434782599,1382216.0,2097148,13896971.663043499,2226416.88043478,11670554.782608699,8,2312304.34782609,39970.1739130435,-229.336956521739,3634.0,20,10018,8349.106389,note8,2
1355,5467200,117053.36263736301,1461.61538461538,1380193.45054945,2097148,12106416.571428599,2360252.7032967005,9746163.86813187,8,2314000.0,41460.505494505494,-231.835164835165,3638.0,20,9782,8250.298536835171,note8,2
1356,5467200,116689.34831460699,1460.6179775280898,1379542.02247191,2097148,11863298.1573034,1700775.73033708,10162522.4269663,8,2312247.19101124,42891.6516853933,-151.719101123596,3627.0,20,9632,5300.34685159551,note8,2
1357,5467200,121181.644444444,1464.8,1379089.33333333,2097148,11431617.3,1684201.83333333,9747415.46666667,8,2314000.0,44329.54444444441,-305.8,3624.0,20,9671,10717.5878832,note8,2
1358,5467200,147682.608695652,1490.64130434783,1379214.0,2097148,12370440.815217402,2744387.42391304,9626053.39130435,8,2314000.0,45785.6630434783,-491.847826086957,3639.0,20,9874,17672.8232771739,note8,2
1359,5467200,142671.604395604,1485.9010989010999,1379372.0,2097148,12155276.4505495,1872721.72527473,10282554.725274699,8,2314000.0,47238.3186813187,-545.505494505495,3615.0,20,9793,19311.8191373077,note8,2
1360,5467200,141890.966292135,1485.2696629213501,1379372.0,2097148,11552641.865168499,2179360.51685393,9373281.34831461,8,2310494.38202247,48648.0674157303,-357.75280898876406,3583.0,20,9625,12337.5975280899,note8,2
1361,5467200,139748.43956044,1482.91208791209,1379372.0,2097148,11713400.3076923,2015656.21978022,9697744.08791209,8,2312285.71428571,50067.1428571429,-92.5164835164835,3620.0,20,9777,3274.4118468131896,note8,2
1362,5467200,141064.8,1484.3777777777802,1379402.26666667,2097148,11425239.3,2396295.12222222,9028944.17777778,8,2314000.0,51488.0666666667,-177.811111111111,3637.0,20,9699,6272.3337087666605,note8,2
1363,5467200,145728.260869565,1489.14130434783,1379535.47826087,2097148,13462385.4891304,2274205.40217391,11188180.086956501,8,2308913.04347826,52953.7934782609,-366.391304347826,3637.0,20,9894,13184.3998306957,note8,2
1364,5467200,146366.044444444,1489.7,1379540.0,2097148,11513966.2555556,2083663.94444444,9430302.31111111,8,2310533.33333333,54384.1,-279.088888888889,3630.0,20,9712,9839.15597866667,note8,2
1365,5467200,144629.274725275,1487.9340659340698,1379540.0,2097148,12884478.7362637,2574977.98901099,10309500.747252699,8,2307142.85714286,55838.967032967004,-106.582417582418,3625.0,20,9809,3789.81763598901,note8,2
1366,5467200,145132.0,1488.5,1379540.0,2097148,11632275.7666667,2477786.87777778,9154488.88888889,8,2307066.66666667,57263.411111111105,-152.377777777778,3638.0,20,9671,5361.12228857778,note8,2
1367,5467200,146589.538461538,1489.8681318681301,1379672.43956044,2097148,12411491.4725275,2821332.17582418,9590159.296703301,8,2314000.0,58735.516483516505,-76.4505494505494,3627.0,20,9798,2716.84962771429,note8,2
1368,5467200,147048.577777778,1490.4888888888902,1379714.26666667,2097148,11171759.888888901,1976784.24444444,9194975.64444445,8,2310533.33333333,60150.0666666667,-58.9,3642.0,20,9594,2058.0453972,note8,2
1369,5467200,144472.179775281,1487.88764044944,1379732.0,2097148,11436737.1573034,2414102.01123595,9022635.14606742,8,2312247.19101124,61538.4719101124,-36.7415730337079,3642.0,20,9577,1281.52527168539,note8,2
1370,5467200,141937.054945055,1485.59340659341,1379732.0,2097148,12059367.054945098,1808499.45054945,10250867.6043956,8,2312285.71428571,62954.307692307695,-168.230769230769,3641.0,20,9769,5983.788286384621,note8,2
1371,5467200,143224.483516484,1486.81318681319,1379732.0,2097148,12358980.4615385,2198332.1978022,10160648.2637363,8,2312285.71428571,64394.0549450549,-112.35164835164801,3643.0,20,9787,4005.7902767472497,note8,2
1372,5467200,143176.977777778,1486.54444444444,1379732.0,2097148,12188642.4555556,2660152.5,9528489.95555556,8,2314000.0,65833.2888888889,-64.8,3638.0,20,9755,2299.667112,note8,2
1373,5467200,141729.662921348,1485.41573033708,1379732.0,2097148,11509896.2247191,2164287.95505618,9345608.26966292,8,2310494.38202247,67247.6853932584,-90.8988764044944,3651.0,20,9613,3190.2835917977504,note8,2
