,total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device,label
0,2859376,71864.2482758621,615.010344827586,558331.186206897,2097148,15984769.6,5391897.37931035,10592872.220689699,8,1804402.75862069,2128.27586206897,-297.78275862069,4151.0,20,32246,39859.1590659379,a30,1
1,2859376,66039.6679245283,602.743396226415,551727.939622642,2097148,16120026.384905702,5424862.36981132,10695164.0150943,8,1804800.0,5666.335849056601,-273.252830188679,4151.0,20,28574,32410.702361086802,a30,1
2,2859376,59510.9770992366,590.045801526718,545222.503816794,2097148,16152628.9770992,5781105.3740458,10371523.6030534,8,1804800.0,8996.606870229009,-283.538167938931,4145.0,20,28236,33184.802477633595,a30,1
3,2859376,74693.3384030418,598.730038022814,538800.486692015,2097148,16359744.4562738,5730012.16730038,10629732.2889734,8,1804800.0,12307.768060836499,-272.840304182509,4145.0,20,28408,32127.2623122433,a30,1
4,2859376,81391.7802197802,605.457875457876,539125.450549451,2097148,16324188.981685001,5639500.89377289,10684688.0879121,8,1804800.0,15669.5164835165,-282.336996336996,4145.0,20,29329,34323.3430182784,a30,1
5,2859376,72574.3692307692,598.4923076923079,540798.123076923,2097148,16399654.738461498,5856991.47692308,10542663.2615385,8,1804800.0,18999.3461538462,-277.057692307692,4145.0,20,27897,32037.030143365402,a30,1
6,2859376,69345.2388059701,587.5932835820901,532880.671641791,2097148,16445753.283582099,5989494.47761194,10456258.805970099,8,1804800.0,22311.604477611898,-333.608208955224,4145.0,20,29010,40115.202817723904,a30,1
7,2859376,66446.5151515152,580.75,528718.848484849,2097148,16511462.6666667,5987132.33333333,10524330.3333333,8,1804800.0,25647.803030303,-280.962121212121,4145.0,20,28281,32935.71301375,a30,1
8,2859376,114731.633587786,613.137404580153,513517.20610687,2097148,16620630.2900763,5985013.22137405,10635617.068702301,8,1804800.0,28930.7748091603,-286.36259541984697,4145.0,20,28031,33272.038986125895,a30,1
9,2859376,115686.69731800801,616.961685823755,516603.01915708795,2097148,16645260.873563198,5966621.70114943,10678639.1724138,8,1804800.0,32198.681992337202,-272.685823754789,4145.0,20,28029,31680.694904425298,a30,1
10,2859376,103499.45787545801,615.70695970696,527539.78021978,2097148,16045422.271062301,5718228.51282051,10327193.7582418,8,1804800.0,35637.7362637363,-273.413919413919,4145.0,20,29248,33146.7787557509,a30,1
11,2859376,125806.342205323,640.555133079848,530718.676806084,2097148,16156730.0988593,6270544.76045627,9886185.33840304,8,1804800.0,38961.9923954373,-273.77566539924,4145.0,20,28176,31974.1285496578,a30,1
12,2859376,122498.21722846401,637.239700374532,530573.2434456929,2097148,16286595.7453184,5658566.5917603,10628029.1535581,8,1804800.0,42263.5842696629,-270.677902621723,4145.0,20,28585,32071.2239235019,a30,1
13,2859376,123805.75182481801,638.518248175183,530609.795620438,2097148,16341779.1824818,5778082.04379562,10563697.1386861,8,1804800.0,45627.9781021898,-273.434306569343,4145.0,20,29311,33220.6536185949,a30,1
14,2859376,126040.82089552199,641.208955223881,531118.701492537,2097148,16338567.164179098,6180894.62686567,10157672.5373134,8,1804800.0,48990.76492537309,-273.970149253731,4145.0,20,28707,32599.8491543284,a30,1
15,2859376,101293.73977695199,626.992565055762,541284.0,2097148,16385445.769516699,5872341.85873606,10513103.9107807,8,1804800.0,52338.282527881,-284.063197026022,4145.0,20,28813,33925.6349535502,a30,1
16,2859376,94830.2589928058,628.312949640288,549060.17266187,2097148,16434739.597122302,5519784.25899281,10914955.3381295,8,1804800.0,55736.8021582734,-286.985611510791,4145.0,20,29761,35402.3570603957,a30,1
17,2859376,114123.239543726,652.836501901141,554887.741444867,2097148,16446792.243345998,5779923.49809886,10666868.7452471,8,1804800.0,59091.7642585551,-277.939163498099,4145.0,20,28143,32422.3635856654,a30,1
18,2859376,113435.172932331,660.236842105263,563193.203007519,2097148,16500352.390977401,5723865.98496241,10776486.406015,8,1804800.0,62389.270676691696,-298.71804511278197,4145.0,20,28596,35407.175348797005,a30,1
19,2859376,68919.3333333333,638.916666666667,585894.376811594,2097148,16533984.6956522,5479403.85507246,11054580.8405797,8,1804800.0,65781.4275362319,-318.48913043478296,4130.0,20,29626,38968.858580217406,a30,1
20,2859376,85478.5454545455,633.856060606061,564085.03030303,2097148,15579819.393939402,5796956.6969697,9782862.6969697,8,1804800.0,69329.3636363636,-303.140151515151,4130.0,20,28736,35976.576176969706,a30,1
21,2859376,75744.6441947566,618.0262172284649,557674.501872659,2097148,16282082.8464419,5402057.04868914,10880025.797752801,8,1804800.0,72655.61797752809,-294.168539325843,4130.0,20,28643,34798.8409189888,a30,1
22,2859376,74431.0036101083,608.328519855596,549050.8014440429,2097148,16200543.018050501,6179773.57400722,10020769.444043301,8,1804800.0,76048.4657039711,-271.270758122744,4130.0,20,29727,33304.5918643321,a30,1
23,2859376,73615.663003663,608.0,549522.32967033,2097148,16341852.219780201,5860229.68498169,10481622.5347985,8,1804800.0,79459.12087912089,-277.472527472527,4130.0,20,29276,33549.17,a30,1
24,2859376,81369.2366412214,615.610687022901,549544.259541985,2097148,16340266.259542001,6210223.75572519,10130042.503816802,8,1804800.0,82790.6755725191,-273.78625954198503,4130.0,20,28111,31786.1548883969,a30,1
25,2859376,65481.3431734317,597.535055350554,546875.719557196,2097148,16355116.4870849,5484835.04059041,10870281.446494501,8,1804800.0,86113.2140221402,-325.188191881919,4130.0,20,29186,39197.5928069373,a30,1
26,2859376,108979.181818182,612.791666666667,519004.227272727,2097148,16394780.5151515,5973568.0,10421212.5151515,8,1804800.0,89460.2234848485,-285.38636363636397,4130.0,20,28346,33409.890496818196,a30,1
27,2859376,142428.83969465698,643.167938931298,516711.648854962,2097148,16597277.0992366,5449206.01526718,11148071.0839695,8,1804800.0,92750.4770992366,-284.660305343511,4130.0,20,28102,33038.0337101527,a30,1
28,2859376,135290.088888889,639.3518518518521,519987.837037037,2097148,16575927.259259302,5754776.59259259,10821150.6666667,8,1804800.0,96067.6148148148,-284.488888888889,4130.0,20,28880,33932.2415288889,a30,1
29,2859376,128773.67142857099,636.0857142857141,523056.671428571,2097148,16623592.942857098,5698398.57142857,10925194.3714286,8,1804800.0,99490.4857142857,-280.99642857142896,4130.0,20,29943,34749.30813075,a30,1
30,2859376,118417.19696969699,632.1098484848491,529411.2272727271,2097148,16076763.6969697,5938818.57575758,10137945.1212121,8,1804800.0,102956.871212121,-275.534090909091,4130.0,20,28201,32091.491387613598,a30,1
31,2859376,128283.85815602801,642.184397163121,529697.2624113479,2097148,16331080.028368803,5566766.35460993,10764313.6737589,8,1804800.0,106343.96453900699,-270.08865248226897,4130.0,20,30200,33687.0772695035,a30,1
32,2859376,157452.842105263,670.372180451128,529524.8421052629,2097148,16211366.6766917,5810691.09774436,10400675.5789474,8,1804800.0,109740.00751879699,-276.18045112782,4130.0,20,28486,32491.8512463158,a30,1
33,2859376,162549.010989011,675.21978021978,529347.838827839,2097148,16334965.2161172,6086363.22344322,10248601.992674,8,1804800.0,113092.835164835,-273.186813186813,4130.0,20,29266,33019.7021846154,a30,1
34,2859376,158254.466165414,670.800751879699,529163.1578947371,2097148,16359959.8496241,5687743.21804511,10672216.6315789,8,1804800.0,116439.22180451099,-271.857142857143,4130.0,20,28519,32020.27763,a30,1
35,2859376,155577.5,668.113636363636,529066.196969697,2097148,16349624.1212121,5755685.75757576,10593938.3636364,8,1804800.0,119738.185606061,-276.121212121212,4130.0,20,28323,32298.9999054545,a30,1
36,2859376,144989.00751879698,659.127819548872,530549.609022556,2097148,16373193.1729323,5929025.44360902,10444167.7293233,8,1804800.0,123038.932330827,-272.338345864662,4130.0,20,28525,32083.703934210498,a30,1
37,2859376,166458.087591241,680.492700729927,530909.1532846721,2097148,16465718.627737198,5718183.35766423,10747535.270073,8,1804800.0,126407.824817518,-273.75912408759103,4130.0,20,29293,33119.403470437996,a30,1
38,2859376,165460.181818182,679.204545454546,530591.393939394,2097148,16512569.4848485,5894035.72727273,10618533.7575758,8,1804800.0,129752.58333333301,-275.549242424242,4112.0,20,28335,32105.212168181803,a30,1
39,2859376,155419.822222222,671.1,532337.451851852,2097148,16562063.851851901,5953692.82962963,10608371.022222199,8,1804800.0,133089.32962963,-293.42962962962997,4112.0,20,28970,34954.698994963,a30,1
40,2859376,117683.773584906,648.0226415094339,546444.01509434,2097148,16105791.939622598,5938537.6,10167254.3396226,8,1804800.0,136522.920754717,-304.211320754717,4112.0,20,28394,35518.5359050868,a30,1
41,2859376,123345.38628158801,654.115523465704,546965.7617328521,2097148,16188516.909747303,5600457.99277978,10588058.9169675,8,1804800.0,139884.328519856,-277.101083032491,4112.0,20,29616,33745.6447759711,a30,1
42,2859376,117028.49624060199,649.5,548579.6541353379,2097148,16302744.9022556,5676221.38345865,10626523.518797,8,1804800.0,143250.902255639,-270.105263157895,4112.0,20,28523,31679.7214753684,a30,1
43,2859376,112708.573584906,646.31320754717,549668.075471698,2097148,16331448.9358491,6121771.62264151,10209677.3132075,8,1804800.0,146555.622641509,-277.15849056603804,4112.0,20,28351,32310.9461451472,a30,1
44,2859376,130503.45864661699,663.515037593985,549476.22556391,2097148,16309685.8345865,6020494.10526316,10289191.7293233,8,1804800.0,149861.54511278198,-276.966165413534,4112.0,20,28461,32413.8023471278,a30,1
45,2859376,129547.114391144,662.605166051661,549444.856088561,2097148,16366664.590405898,5822612.01476015,10544052.5756458,8,1804800.0,153189.332103321,-272.19188191881904,4112.0,20,28994,32451.6220169446,a30,1
46,2859376,126842.97744360901,659.691729323308,549260.15037594,2097148,16390689.624060199,6129975.45864662,10260714.165413499,8,1804800.0,156527.484962406,-275.533834586466,4112.0,20,28559,32357.2078553985,a30,1
47,2859376,122352.42962963,655.3,549125.896296296,2097148,16545848.651851902,5832859.17037037,10712989.4814815,8,1804800.0,159875.17037037,-277.551851851852,4112.0,20,28876,32955.9828709926,a30,1
48,2859376,119904.09056603801,652.169811320755,548484.966037736,2097148,16578865.1471698,5980634.89811321,10598230.2490566,8,1804800.0,163203.573584906,-273.128301886792,4112.0,20,28407,31904.003322022596,a30,1
49,2859376,117311.72932330801,647.834586466165,546590.586466165,2097148,16611575.1879699,5625668.33082707,10985906.8571429,8,1804800.0,166516.146616541,-275.567669172932,4112.0,20,28532,32330.586581894702,a30,1
50,2859376,118717.19245283,646.31320754717,543644.01509434,2097148,16123791.3056604,5605114.80754717,10518676.498113198,8,1804800.0,169925.796226415,-276.88679245283,4112.0,20,28427,32365.802211320803,a30,1
51,2859376,134821.963099631,666.214022140221,547893.387453875,2097148,16182619.6605166,5770873.29889299,10411746.3616236,8,1804800.0,173254.929889299,-283.247232472325,4112.0,20,29015,33794.1366671587,a30,1
52,2859376,132377.17647058802,665.761029411765,549901.3088235289,2097148,16319407.1764706,5714325.08823529,10605082.088235302,8,1804800.0,176625.558823529,-278.694852941176,4112.0,20,29185,33445.8125720588,a30,1
53,2859376,131716.48854961802,664.511450381679,549274.9618320611,2097148,16333748.0,5994552.85496183,10339195.145038199,8,1804800.0,179946.080152672,-280.251908396947,4112.0,20,28121,32406.5236227176,a30,1
54,2859376,133751.925093633,665.958801498127,548770.157303371,2097148,16382054.172284601,5704326.1423221,10677728.0299625,8,1804800.0,183226.44194756603,-270.595505617978,4112.0,20,28504,31716.079249258397,a30,1
55,2859376,128461.168539326,660.228464419476,548158.007490637,2097148,16308119.820224699,5895074.3670412,10413045.4531835,8,1804800.0,186547.22846442,-279.044943820225,4112.0,20,28563,32774.1233231461,a30,1
56,2859376,126413.429657795,656.992395437262,546887.437262357,2097148,16424155.163498098,6156484.7148289,10267670.448669199,8,1804800.0,189848.615969582,-275.733840304183,4112.0,20,28241,32020.1414671331,a30,1
57,2859376,123223.80952381,652.663003663004,545673.465201465,2097148,16480236.8351648,5685809.75824176,10794427.0769231,8,1804800.0,193199.40659340698,-273.838827838828,4112.0,20,29244,32929.4827055824,a30,1
58,2859376,124301.111111111,651.525925925926,543302.0,2097148,16520579.170370402,5610961.42222222,10909617.7481481,8,1804800.0,196585.54444444398,-274.92592592592604,4105.0,20,28962,32685.6711566667,a30,1
59,2859376,135444.872180451,659.947368421053,540839.714285714,2097148,16554962.9172932,5698813.62406015,10856149.293233098,8,1804800.0,199927.996240602,-276.28195488721803,4105.0,20,28480,32300.233858646603,a30,1
60,2859376,147655.572519084,672.511450381679,541539.6183206111,2097148,16083474.9923664,5908148.0,10175326.9923664,8,1804800.0,203301.48854961802,-274.038167938931,4105.0,20,28096,31605.9399841221,a30,1
61,2859376,143222.432835821,667.977611940299,541373.8955223879,2097148,16169976.716417901,5642548.89552239,10527427.8208955,8,1804800.0,206603.57462686603,-273.287313432836,4105.0,20,28768,32273.220321791097,a30,1
62,2859376,142875.18490566,667.48679245283,541087.18490566,2097148,16236619.2301887,5834020.98113208,10402598.2490566,8,1804800.0,209905.52830188698,-270.498113207547,4105.0,20,28286,31408.6260319245,a30,1
63,2859376,141450.511278195,665.842105263158,540890.22556391,2097148,16317678.315789498,6147422.55639098,10170255.7593985,8,1804800.0,213205.018796992,-278.421052631579,4105.0,20,28539,32617.7488184211,a30,1
64,2859376,138091.323308271,662.345864661654,540670.872180451,2097148,16378256.180451099,5475100.36090226,10903155.8195489,8,1804800.0,216510.57894736802,-276.593984962406,4105.0,20,28542,32407.109354661698,a30,1
65,2859376,136379.663003663,660.571428571429,540564.263736264,2097148,16301379.3113553,6015634.34432234,10285744.967033,8,1804800.0,219856.666666667,-278.604395604396,4105.0,20,29234,33434.079299011,a30,1
66,2859376,133527.609022556,657.657894736842,540362.37593985,2097148,16449974.7368421,6005581.2631579,10444393.4736842,8,1804800.0,223208.16541353398,-272.981203007519,4105.0,20,28551,31993.903372612796,a30,1
67,2859376,130111.381132075,654.094339622642,540127.577358491,2097148,16503619.501886802,5839662.06792453,10663957.4339623,8,1804800.0,226526.716981132,-278.135849056604,4105.0,20,28426,32455.3189938868,a30,1
68,2859376,131146.117647059,654.488970588235,539602.838235294,2097148,16512251.2941176,5560488.82352941,10951762.470588198,8,1804800.0,229875.845588235,-274.591911764706,4105.0,20,29238,32957.0676879044,a30,1
