1611063044340,1611063059733,20,1
1611063060120,1611063073504,20,2
1611063073588,1611063088300,20,1
1611063113233,1611063136079,20,1
1611063136171,1611063160350,20,2
1611063160419,1611063184980,20,3
1611063230178,1611063245956,20,1
1611063246055,1611063268995,20,2
1611063269085,1611063291723,20,3
1611063291789,1611063314679,20,4
1611063314748,1611063336178,20,5
1611063351384,1611063365341,20,1
1611063365386,1611063378861,20,2
1611063378904,1611063392267,20,3
1611063392297,1611063405639,20,4
1611063405663,1611063419043,20,5
1611063419066,1611063432538,20,6
1611063432566,1611063445999,20,7
1611063446028,1611063459415,20,8
1611063459445,1611063472868,20,9
1611102433088,1611102445519,20,1
1611102445769,1611102458479,20,2
1611102458505,1611102471205,20,3
1611102471229,1611102483481,20,4
1611102483504,1611102496634,20,5
1611102496657,1611102509273,20,6
1611102509296,1611102521426,20,7
1611102521449,1611102534171,20,8
1611102534194,1611102546300,20,9
1611102546323,1611102558191,20,10
1611102558445,1611102571112,20,11
1611102571135,1611102583842,20,12
1611102583869,1611102596549,20,13
1611102596571,1611102609059,20,14
1611102609081,1611102621328,20,15
1611102621351,1611102633894,20,16
1611102633916,1611102646305,20,17
1611102646327,1611102659201,20,18
1611102659223,1611102672122,20,19
1611102672145,1611102685214,20,20
1611102685415,1611102697407,20,21
1611102697435,1611102710547,20,22
1611102710569,1611102723062,20,23
1611102723086,1611102735595,20,24
1611102735618,1611102747169,20,25
1611102747195,1611102760046,20,26
1611102760068,1611102772847,20,27
1611102772869,1611102785059,20,28
1611102785081,1611102797311,20,29
1611102797334,1611102810061,20,30
1611102810256,1611102822523,20,31
1611102822546,1611102835464,20,32
1611102835491,1611102847958,20,33
1611102847981,1611102860251,20,34
1611102860273,1611102873309,20,35
1611102873335,1611102886278,20,36
1611102886304,1611102899394,20,37
1611102899416,1611102912178,20,38
1611102912200,1611102925119,20,39
1611102925141,1611102937696,20,40
1611102937903,1611102950956,20,41
1611102950982,1611102963846,20,42
1611102963868,1611102976486,20,43
1611102976509,1611102988446,20,44
1611102988468,1611103001102,20,45
1611103001128,1611103013209,20,46
1611103013232,1611103026004,20,47
1611103026027,1611103038231,20,48
1611103038253,1611103049613,20,49
1611103049640,1611103062684,20,50
1611103062882,1611103075650,20,51
1611103075676,1611103088278,20,52
1611103088300,1611103100655,20,53
1611103100681,1611103113154,20,54
1611103113176,1611103124626,20,55
1611103124649,1611103137273,20,56
1611103137295,1611103149448,20,57
1611103149470,1611103162050,20,58
1611103162072,1611103174721,20,59
1611103174744,1611103187757,20,60
1611103187956,1611103200756,20,61
1611103200778,1611103213569,20,62
1611103213591,1611103226313,20,63
1611103226340,1611103237654,20,64
1611103237676,1611103249928,20,65
1611103249950,1611103262747,20,66
1611103262769,1611103274481,20,67
1611103274503,1611103287323,20,68
1611103287345,1611103299861,20,69
1611103299884,1611103312458,20,70
1611140345907,1611140371722,20,1
1611140371808,1611140397120,20,2
1611140397194,1611140426811,20,3
1611140426882,1611140456709,20,4
1611140456778,1611140482237,20,5
1611140482303,1611140508060,20,6
1611140508125,1611140602042,20,7
1611140625465,1611140932036,20,8
1611140932105,1611140971237,20,9
