total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,current,voltage,process,time,energy
3622616,240065.574468085,1993.22340425532,1801400.38297872,2097148,6388238.46808511,925927.489361702,5462310.9787234,8,2570127.65957447,251,3807,1,12663,12100.218291
3622616,247012.634146341,2001.20731707317,1802551.56097561,2097148,6395939.68292683,1004893.14634146,5391046.53658537,8,2592390.24390244,140.365853658537,3807,2,10242,5473.04626756098
3622616,259346.772727273,2013.04545454545,1802590.27272727,2097148,6263255.01136364,1120289.28409091,5142965.72727273,8,2585818.18181818,-1045,3613,3,10346,39062.20241
3622616,253616.470588235,2007.6,1802648.09411765,2097148,6031604.15294118,895796.529411765,5135807.62352941,8,2600000,-1045,3613,4,10253,38711.073005
3622616,255370.744186046,2009.40697674419,1802651.81395349,2097148,6617247.20930233,1223471.02325581,5393776.18604651,8,2592744.18604651,-1081.83720930233,3613,5,10240,40024.8610530233
3622616,263524.137931034,2017.35632183908,1802662.8045977,2097148,6637854.32183908,1285717.95402299,5352136.36781609,8,2592827.5862069,-1243,3571,6,10320,45807.93096
3622616,265725.162790698,2019.58139534884,1802676,2097148,6308164.09302326,1061373.86046512,5246790.23255814,8,2600000,-1243,3571,7,10248,45488.340744
3622616,265408.943820225,2019.21348314607,1802683.73033708,2097148,5999347.69662921,1013944.1011236,4985403.59550562,8,2592988.76404494,-1273.38202247191,3570.78651685393,8,10346,47043.0070398687
3622616,264333.505882353,2017.70588235294,1802690.72941176,2097148,6269551.91764706,745372.058823529,5524179.85882353,8,2600000,-1347,3552,,10120,48419.58528
